transaction_date,invoice_number,customer_name,customer_code,product_name,product_code,quantity,unit_price,total_amount,territory,sales_channel,business_unit,currency
2026-06-20,INV-10189,Sweetwater Sound,CUST-003,Boom Arm BA-20,BA-20,17,59.99,1019.83,Latin America,Distributor,Pro Audio,USD
2026-06-27,INV-10190,Guitar Center,CUST-002,DAC Converter DC-100,DC-100,43,199.99,8599.57,US West,Retail,Audio Division,USD
2026-06-25,INV-10191,Best Buy Electronics,CUST-001,USB Microphone UM-50,UM-50,14,89.99,1259.86,Latin America,Online,Consumer Electronics,USD
2026-06-28,INV-10192,Guitar Center,CUST-002,Speaker Cable SC-10,SC-10,2,24.99,49.98,Canada,Distributor,Audio Division,USD
2026-06-01,INV-10193,Sweetwater Sound,CUST-003,Wireless Headphones WH-100,WH-100,40,149.99,5999.60,US Central,Online,Consumer Electronics,USD
2026-06-10,INV-10194,Sam Ash Music,CUST-006,Pop Filter PF-5,PF-5,16,19.99,319.84,US West,Retail,Pro Audio,USD
2026-06-04,INV-10195,Sweetwater Sound,CUST-003,Mixer Board MB-16,MB-16,5,549.99,2749.95,US East,Retail,Pro Audio,USD
2026-06-08,INV-10196,Musician Friend,CUST-007,USB Microphone UM-50,UM-50,48,89.99,4319.52,Latin America,Online,Pro Audio,USD
2026-06-20,INV-10197,Amazon Marketplace,CUST-004,Wireless Headphones WH-100,WH-100,18,149.99,2699.82,US East,Direct,Audio Division,USD
2026-06-05,INV-10198,Musician Friend,CUST-007,Pop Filter PF-5,PF-5,31,19.99,619.69,US West,Distributor,Consumer Electronics,USD
2026-06-11,INV-10199,Amazon Marketplace,CUST-004,DAC Converter DC-100,DC-100,12,199.99,2399.88,US East,Retail,Audio Division,USD
2026-06-03,INV-10200,B&H Photo Video,CUST-005,Acoustic Panel AP-4,AP-4,21,79.99,1679.79,US Central,Retail,Audio Division,USD
2026-06-03,INV-10201,Sweetwater Sound,CUST-003,Acoustic Panel AP-4,AP-4,21,79.99,1679.79,Latin America,Distributor,Consumer Electronics,USD
2026-06-19,INV-10202,Musician Friend,CUST-007,Speaker Cable SC-10,SC-10,50,24.99,1249.50,Latin America,Wholesale,Consumer Electronics,USD
2026-06-01,INV-10203,Guitar Center,CUST-002,Mixer Board MB-16,MB-16,39,549.99,21449.61,US West,Retail,Audio Division,USD
2026-06-06,INV-10204,Sam Ash Music,CUST-006,DAC Converter DC-100,DC-100,18,199.99,3599.82,US Central,Wholesale,Consumer Electronics,USD
2026-06-13,INV-10205,Guitar Center,CUST-002,Wireless Headphones WH-100,WH-100,12,149.99,1799.88,US East,Online,Pro Audio,USD
